monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
C2=CCC(OCc1ccccc1)C2,RER,FALSE,[*]CC=CCC([*])OCc1ccccc1,3.00,,,,,,298.15,,dft,10.03432329,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C2=CCC(COCc1ccccc1)C2,RER,FALSE,[*]CC=CCC([*])COCc1ccccc1,3.00,,,,,,298.15,,dft,7.931354161,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
OCC1CC=CC1,RER,FALSE,[*]CC=CCC([*])CO,3.00,,,,,,298.15,,dft,10.46547962,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
COC(=O)C1CC=CC1,RER,FALSE,[*]CC=CCC([*])C(=O)OC,3.00,,,,,,298.15,,dft,2.493627846,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C(O)C1CC=CC1,RER,FALSE,[*]CC=CCC([*])C(=O)O,3.00,,,,,,298.15,,dft,3.756341052,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C2=CCC(c1ccccc1)C2,RER,FALSE,[*]CC=CCC([*])c1ccccc1,3.00,,,,,,298.15,,dft,2.484686522,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
OC1CC=CC1,RER,FALSE,[*]CC=CCC([*])O,3.00,,,,,,298.15,,dft,1.460255778,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1N([H])C2CCCC1O2,RER,FALSE,[*]NC1CCCC(C([*])=O)O1,3.00,,,,,,298.15,,dft,8.309905668,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCC(C)C1,RER,FALSE,[*]C(CC(C)CCS[*])=O,3.00,,,,,,298.15,,dft,10.18487555,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCC1C,RER,FALSE,O=C(C(C)CCC[*])S[*],3.00,,,,,,298.15,,dft,5.156719567,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
